stcode,jurisdiction,first_dose_allocations,second_dose_allocations,week_of_allocations
ME,Maine,21060,21060,2021-04-19
MA,Massachusetts,105300,105300,2021-04-19
NH,New Hampshire,21060,21060,2021-04-19
,Rhode Island,16380,16380,2021-04-19
VT,Vermont,10530,10530,2021-04-19
NJ,New Jersey,132210,132210,2021-04-19
NY,New York,168480,168480,2021-04-19
NY,New York City,128700,128700,2021-04-19
PR,Puerto Rico,52650,52650,2021-04-19
,U.S. Virgin Islands,2340,2340,2021-04-19
DE,Delaware,15210,15210,2021-04-19
DC,District of Columbia,11700,11700,2021-04-19
MD,Maryland,90090,90090,2021-04-19
PA,Pennsylvania,170820,170820,2021-04-19
PA,Philadelphia,24570,24570,2021-04-19
VA,Virginia,126360,126360,2021-04-19
WV,West Virginia,28080,28080,2021-04-19
AL,Alabama,72540,72540,2021-04-19
FL,Florida,314730,314730,2021-04-19
GA,Georgia,149760,149760,2021-04-19
KY,Kentucky,66690,66690,2021-04-19
AR,Mississippi,44460,44460,2021-04-19
NC,North Carolina,150930,150930,2021-04-19
SC,South Carolina,74880,74880,2021-04-19
TN,Tennessee,99450,99450,2021-04-19
IL,Chicago,40950,40950,2021-04-19
IL,Illinois,149760,149760,2021-04-19
IN,Indiana,97110,97110,2021-04-19
MI,Michigan,148590,148590,2021-04-19
MN,Minnesota,81900,81900,2021-04-19
IN,Ohio,173160,173160,2021-04-19
WI,Wisconsin,86580,86580,2021-04-19
AR,Arkansas,44460,44460,2021-04-19
LA,Louisiana,69030,69030,2021-04-19
NM,New Mexico,31590,31590,2021-04-19
OK,Oklahoma,57330,57330,2021-04-19
MO,Texas,394290,394290,2021-04-19
IA,Iowa,46800,46800,2021-04-19
AR,Kansas,42120,42120,2021-04-19
MO,Missouri,90090,90090,2021-04-19
NE,Nebraska,28080,28080,2021-04-19
CO,Colorado,81900,81900,2021-04-19
MT,Montana,16380,16380,2021-04-19
ND,North Dakota,11700,11700,2021-04-19
SD,South Dakota,12870,12870,2021-04-19
UT,Utah,40950,40950,2021-04-19
NY,Wyoming,9360,9360,2021-04-19
AZ,Arizona,102960,102960,2021-04-19
CA,California,575640,575640,2021-04-19
HI,Hawaii,22230,22230,2021-04-19
AR,Nevada,43290,43290,2021-04-19
AS,American Samoa,0,0,2021-04-19
GU,Guam,0,0,2021-04-19
,Marshall Islands,0,0,2021-04-19
,Micronesia,0,0,2021-04-19
,Mariana Islands,0,0,2021-04-19
,Palau,0,0,2021-04-19
AK,Alaska,0,0,2021-04-19
ID,Idaho,24570,24570,2021-04-19
MO,Oregon,62010,62010,2021-04-19
AL,Washington,109980,109980,2021-04-19
,Federal Entities,203580,203580,2021-04-19
CT,Connecticut,51480,51480,2021-04-12
ME,Maine,19890,19890,2021-04-12
MA,Massachusetts,97110,97110,2021-04-12
NH,New Hampshire,19890,19890,2021-04-12
,Rhode Island,15210,15210,2021-04-12
VT,Vermont,9360,9360,2021-04-12
NJ,New Jersey,124020,124020,2021-04-12
NY,New York,156780,156780,2021-04-12
NY,New York City,119340,119340,2021-04-12
PR,Puerto Rico,49140,49140,2021-04-12
,U.S. Virgin Islands,2340,2340,2021-04-12
DE,Delaware,14040,14040,2021-04-12
DC,District of Columbia,10530,10530,2021-04-12
MD,Maryland,83070,83070,2021-04-12
PA,Pennsylvania,159120,159120,2021-04-12
PA,Philadelphia,22230,22230,2021-04-12
VA,Virginia,117000,117000,2021-04-12
WV,West Virginia,26910,26910,2021-04-12
AL,Alabama,67860,67860,2021-04-12
FL,Florida,293670,293670,2021-04-12
GA,Georgia,139230,139230,2021-04-12
KY,Kentucky,62010,62010,2021-04-12
AR,Mississippi,40950,40950,2021-04-12
NC,North Carolina,140400,140400,2021-04-12
SC,South Carolina,69030,69030,2021-04-12
TN,Tennessee,92430,92430,2021-04-12
IL,Chicago,37440,37440,2021-04-12
IL,Illinois,139230,139230,2021-04-12
IN,Indiana,91260,91260,2021-04-12
MI,Michigan,139230,139230,2021-04-12
MN,Minnesota,76050,76050,2021-04-12
IN,Ohio,161460,161460,2021-04-12
WI,Wisconsin,80730,80730,2021-04-12
AR,Arkansas,40950,40950,2021-04-12
LA,Louisiana,64350,64350,2021-04-12
NM,New Mexico,29250,29250,2021-04-12
OK,Oklahoma,53820,53820,2021-04-12
MO,Texas,367380,367380,2021-04-12
IA,Iowa,43290,43290,2021-04-12
AR,Kansas,39780,39780,2021-04-12
MO,Missouri,84240,84240,2021-04-12
NE,Nebraska,26910,26910,2021-04-12
CO,Colorado,76050,76050,2021-04-12
MT,Montana,15210,15210,2021-04-12
ND,North Dakota,10530,10530,2021-04-12
SD,South Dakota,11700,11700,2021-04-12
UT,Utah,38610,38610,2021-04-12
NY,Wyoming,8190,8190,2021-04-12
AZ,Arizona,95940,95940,2021-04-12
CA,California,535860,535860,2021-04-12
HI,Hawaii,19890,19890,2021-04-12
AR,Nevada,40950,40950,2021-04-12
AS,American Samoa,0,0,2021-04-12
GU,Guam,0,0,2021-04-12
,Marshall Islands,0,0,2021-04-12
,Micronesia,0,0,2021-04-12
,Mariana Islands,0,0,2021-04-12
,Palau,0,0,2021-04-12
AK,Alaska,0,0,2021-04-12
ID,Idaho,23400,23400,2021-04-12
