stcode,jurisdiction,first_dose_allocations,second_dose_allocations,week_of_allocations
OK,Oklahoma,22900,22900,2021-01-11
MO,Oregon,25000,25000,2021-01-11
,Palau,0,0,2021-01-11
PA,Pennsylvania,68700,68700,2021-01-11
CT,Connecticut,41220,41220,2021-05-17
ME,Maine,15800,15800,2021-05-17
MA,Massachusetts,79500,79500,2021-05-17
NH,New Hampshire,15800,15800,2021-05-17
,Rhode Island,12480,12480,2021-05-17
VT,Vermont,7480,7480,2021-05-17
NJ,New Jersey,100620,100620,2021-05-17
NY,New York,128240,128240,2021-05-17
NY,New York City,97400,97400,2021-05-17
PR,Puerto Rico,39400,39400,2021-05-17
,U.S. Virgin Islands,1360,1360,2021-05-17
DE,Delaware,10940,10940,2021-05-17
DC,District of Columbia,8320,8320,2021-05-17
MD,Maryland,68000,68000,2021-05-17
PA,Pennsylvania,129600,129600,2021-05-17
PA,Philadelphia,18040,18040,2021-05-17
VA,Virginia,95480,95480,2021-05-17
WV,West Virginia,21360,21360,2021-05-17
AL,Alabama,54960,54960,2021-05-17
FL,Florida,239560,239560,2021-05-17
GA,Georgia,113660,113660,2021-05-17
KY,Kentucky,49960,49960,2021-05-17
AR,Mississippi,33140,33140,2021-05-17
NC,North Carolina,114640,114640,2021-05-17
SC,South Carolina,56320,56320,2021-05-17
TN,Tennessee,75060,75060,2021-05-17
IL,Chicago,30520,30520,2021-05-17
IL,Illinois,113660,113660,2021-05-17
IN,Indiana,73840,73840,2021-05-17
MI,Michigan,113100,113100,2021-05-17
MN,Minnesota,62020,62020,2021-05-17
IN,Ohio,131560,131560,2021-05-17
WI,Wisconsin,65900,65900,2021-05-17
AR,Arkansas,33420,33420,2021-05-17
LA,Louisiana,51880,51880,2021-05-17
NM,New Mexico,23700,23700,2021-05-17
OK,Oklahoma,43280,43280,2021-05-17
MO,Texas,300040,300040,2021-05-17
IA,Iowa,35100,35100,2021-05-17
AR,Kansas,32060,32060,2021-05-17
MO,Missouri,68560,68560,2021-05-17
NE,Nebraska,21220,21220,2021-05-17
CO,Colorado,62300,62300,2021-05-17
MT,Montana,12060,12060,2021-05-17
ND,North Dakota,8600,8600,2021-05-17
SD,South Dakota,9680,9680,2021-05-17
UT,Utah,31220,31220,2021-05-17
NY,Wyoming,6640,6640,2021-05-17
AZ,Arizona,77860,77860,2021-05-17
CA,California,438000,438000,2021-05-17
HI,Hawaii,16360,16360,2021-05-17
AR,Nevada,32860,32860,2021-05-17
AS,American Samoa,0,0,2021-05-17
GU,Guam,0,0,2021-05-17
,Marshall Islands,0,0,2021-05-17
,Micronesia,0,0,2021-05-17
,Mariana Islands,0,0,2021-05-17
,Palau,0,0,2021-05-17
AK,Alaska,12060,12060,2021-05-17
ID,Idaho,18320,18320,2021-05-17
MO,Oregon,47160,47160,2021-05-17
AL,Washington,83520,83520,2021-05-17
,Federal Entities,164900,164900,2021-05-17
CT,Connecticut,41300,41300,2021-05-10
ME,Maine,15800,15800,2021-05-10
MA,Massachusetts,79500,79500,2021-05-10
NH,New Hampshire,15900,15900,2021-05-10
,Rhode Island,12400,12400,2021-05-10
VT,Vermont,7500,7500,2021-05-10
NJ,New Jersey,100700,100700,2021-05-10
NY,New York,128200,128200,2021-05-10
NY,New York City,97400,97400,2021-05-10
PR,Puerto Rico,39400,39400,2021-05-10
,U.S. Virgin Islands,1300,1300,2021-05-10
DE,Delaware,11000,11000,2021-05-10
DC,District of Columbia,8300,8300,2021-05-10
MD,Maryland,68000,68000,2021-05-10
PA,Pennsylvania,129500,129500,2021-05-10
PA,Philadelphia,18000,18000,2021-05-10
VA,Virginia,95400,95400,2021-05-10
WV,West Virginia,21300,21300,2021-05-10
AL,Alabama,54900,54900,2021-05-10
FL,Florida,239700,239700,2021-05-10
GA,Georgia,113600,113600,2021-05-10
KY,Kentucky,50000,50000,2021-05-10
AR,Mississippi,33200,33200,2021-05-10
NC,North Carolina,114600,114600,2021-05-10
SC,South Carolina,56300,56300,2021-05-10
TN,Tennessee,75100,75100,2021-05-10
IL,Chicago,30600,30600,2021-05-10
IL,Illinois,113800,113800,2021-05-10
IN,Indiana,73800,73800,2021-05-10
MI,Michigan,113100,113100,2021-05-10
MN,Minnesota,62000,62000,2021-05-10
IN,Ohio,131500,131500,2021-05-10
WI,Wisconsin,65900,65900,2021-05-10
AR,Arkansas,33400,33400,2021-05-10
LA,Louisiana,51900,51900,2021-05-10
NM,New Mexico,23700,23700,2021-05-10
OK,Oklahoma,43200,43200,2021-05-10
MO,Texas,300000,300000,2021-05-10
IA,Iowa,35100,35100,2021-05-10
AR,Kansas,32000,32000,2021-05-10
MO,Missouri,68600,68600,2021-05-10
NE,Nebraska,21200,21200,2021-05-10
CO,Colorado,62300,62300,2021-05-10
MT,Montana,12000,12000,2021-05-10
ND,North Dakota,8700,8700,2021-05-10
SD,South Dakota,9600,9600,2021-05-10
UT,Utah,31200,31200,2021-05-10
NY,Wyoming,6600,6600,2021-05-10
AZ,Arizona,77900,77900,2021-05-10
CA,California,438100,438100,2021-05-10
HI,Hawaii,16300,16300,2021-05-10
AR,Nevada,32900,32900,2021-05-10
AS,American Samoa,0,0,2021-05-10
GU,Guam,0,0,2021-05-10
,Marshall Islands,0,0,2021-05-10
,Micronesia,0,0,2021-05-10
,Mariana Islands,0,0,2021-05-10
,Palau,0,0,2021-05-10
AK,Alaska,12100,12100,2021-05-10
ID,Idaho,18200,18200,2021-05-10
MO,Oregon,47100,47100,2021-05-10
AL,Washington,83600,83600,2021-05-10
,Federal Entities,161100,161100,2021-05-10
CT,Connecticut,40400,40400,2021-05-03
ME,Maine,15400,15400,2021-05-03
MA,Massachusetts,77700,77700,2021-05-03
NH,New Hampshire,15500,15500,2021-05-03
,Rhode Island,12100,12100,2021-05-03
VT,Vermont,7300,7300,2021-05-03
NJ,New Jersey,98500,98500,2021-05-03
NY,New York,125400,125400,2021-05-03
NY,New York City,95200,95200,2021-05-03
PR,Puerto Rico,38500,38500,2021-05-03
,U.S. Virgin Islands,1200,1200,2021-05-03
DE,Delaware,10700,10700,2021-05-03
DC,District of Columbia,8100,8100,2021-05-03
MD,Maryland,66500,66500,2021-05-03
PA,Pennsylvania,126700,126700,2021-05-03
PA,Philadelphia,17600,17600,2021-05-03
VA,Virginia,93300,93300,2021-05-03
WV,West Virginia,20800,20800,2021-05-03
AL,Alabama,53700,53700,2021-05-03
FL,Florida,234500,234500,2021-05-03
GA,Georgia,111100,111100,2021-05-03
KY,Kentucky,48900,48900,2021-05-03
AR,Mississippi,32400,32400,2021-05-03
NC,North Carolina,112100,112100,2021-05-03
SC,South Carolina,55000,55000,2021-05-03
TN,Tennessee,73400,73400,2021-05-03
IL,Chicago,29900,29900,2021-05-03
IL,Illinois,111300,111300,2021-05-03
IN,Indiana,72200,72200,2021-05-03
MI,Michigan,110600,110600,2021-05-03
MN,Minnesota,60600,60600,2021-05-03
IN,Ohio,128600,128600,2021-05-03
WI,Wisconsin,64400,64400,2021-05-03
AR,Arkansas,32600,32600,2021-05-03
LA,Louisiana,50700,50700,2021-05-03
NM,New Mexico,23100,23100,2021-05-03
OK,Oklahoma,42200,42200,2021-05-03
MO,Texas,293500,293500,2021-05-03
IA,Iowa,34300,34300,2021-05-03
